"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4,JP3,JP2,JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";4;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
2;"U4,U1,U3,U2";"PC357_OPTO";4;"PC357_OPTO";;;
3;"R10,R9,R1,R2";"0603R";4;"100R";;;
4;"K8,K4,K9,K5";"TERMINAL_KF235-5.0-3P";4;"TERMINAL_KF235-5.0-3P";;;
5;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
6;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
7;"D3,D8,D4,D7";"M4_DIODA";4;"M4_DIODA";;;
8;",,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";23;"";;;
9;"R11,R4,R3,R12";"0402R";4;"1k";;;
10;"D2,D6,D1,D5";"0402LED";4;"purple";;;
11;"R13,R5,R14,R6";"0603R";4;"330R";;;
12;"Q1,Q2,Q3,Q4";"SOT-23-3";4;"NPN-SOT-23-3";;;
13;"R8,R15,R7,R16";"0603R";4;"10R";;;
14;"K6,K7,K3,K2";"SRD_RELAY_5V";4;"SRD_RELAY_5V";;;
15;"K1";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
16;"G***";"Symbol-Front-Relay";1;"LOGO";;;
17;"FD1,FD2";"FIDUCIAL_1MM_PASTE";2;"Fiducial_Stencil";;;
18;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
19;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
