"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4,U1,U3,U2";"PC357_OPTO";4;"PC357_OPTO";;;
2;"R10,R9,R1,R2";"0603R";4;"100R";;;
3;"K8,K4,K9,K5";"TERMINAL_KF235-5.0-3P";4;"TERMINAL_KF235-5.0-3P";;;
4;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
5;"D3,D8,D4,D7";"M4_DIODA";4;"M4_DIODA";;;
6;"JP1,JP2,JP3,JP5,JP4";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";5;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
7;",,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";29;"";;;
8;"FD1,FD2";"FIDUCIAL_23";2;"FIDUCIAL";;;
9;"R11,R4,R17,R3,R12";"0402R";5;"2k2";;;
10;"D2,D6,D1,D5";"0402LED";4;"blue";;;
11;"R13,R5,R14,R6";"0603R";4;"330R";;;
12;"Q1,Q2,Q3,Q4";"SOT-23-3";4;"NPN-SOT-23-3";;;
13;"R8,R15,R7,R16";"0603R";4;"10R";;;
14;"K6,K7,K3,K2";"SRD_RELAY_5V";4;"SRD_RELAY_5V";;;
15;"K1";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
16;"G***";"Symbol-Front-Relay";1;"LOGO";;;
17;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
18;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
19;"D9";"0402LED";1;"purple";;;
20;"REF**";"Logo-Front-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
21;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
